	statussummary	status	asm	jira	sample	accession	species	coi	organelle	uli	common name	sex	genomic sex	ploidy	taxon	genus	family	order	phylum	BioSample	BioProject	darwin	vgp_orders	vgp_plus	asg	erga	25g	britain&ireland	dnazoo	cichlids	BADASS	rodents	jiggins	murchison	R&D	protist-microalgae	UKbutterflies	sts size (Mb)	est. size (Mb)	htzgy (%)	rep frac (%)	long read cov (gscope)	long read cov (sts)	10XG cov (gscope)	10XG cov (sts)	last_data	sts pacbio status (new)	sts hic status (new)	hic_from	PacBio	ONT	10XG	Htag	BioNano	HiC	RNAseq	IsoSeq	note or paper	raw data sub	submission todo	contig N50 (Mb)	contig count	scaffold N50 (Mb)	scaffold count	longest (Mb)	length (Mb)	BUSCO	QV	completeness	pipeline status	notes	runs
	1 submitted	11_published	cz3	GRIT-467	ilMelGala2	GCA_920104075.1	Melanargia galathea	3			marbled white	U	F		111923	Melanargia	Nymphalidae	Lepidoptera	Arthropoda	SAMEA7523296	PRJEB46857	1						1									1	479	600	1.4	48	29	38	55	120	2021-07-19	COMPLETE	COMPLETE	ilMelGala1	●		●			●	●		3	3	done	8.81	153	20.61	101	42.43	613	C:98.8%[S:98.0%,D:0.8%],F:0.3%,M:0.9%,n:1367	53.6	94.7	hifiasm-0.15.3-r339+purge(no -e)+polish+mito+scaff		
	1 submitted	11_published	mu2	GRIT-336	ilMimTili1	GCA_905332985.1	Mimas tiliae	3			lime hawk-moth	U	M		522848	Mimas	Sphingidae	Lepidoptera	Arthropoda	SAMEA7520521	PRJEB43536	1						1										569	468	0.7	22	37		80	103	2020-11-13	COMPLETE	COMPLETE	ilMimTili1	●		●			●			3	3	done	17.80	43	17.90	38	25.90	478	C:98.8%[S:98.3%,D:0.5%],F:0.4%,M:0.8%,n:1658			hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	cz3	GRIT-418	ilMytFerr1	GCA_910589285.1	Mythimna ferrago	3			the clay	U	F		997540	Mythimna	Noctuidae	Lepidoptera	Arthropoda	SAMEA7701536	PRJEB45178	1						1										587	819	2.5	37	31		51	118	2020-02-29	COMPLETE	COMPLETE	ilMytFerr1,ilMytFerr2	●		●			●	●		3	3	done	27.19	57	27.34	56	43.35	870	C:99.0%[S:97.5%,D:1.5%],F:0.4%,M:0.6%,n:1367	58.2	97.4	hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	GRIT-290	ilNocFimb1	GCA_905163415.1	Noctua fimbriata	3			broad-bordered yellow underwing	U	F		753202	Noctua	Noctuidae	Lepidoptera	Arthropoda	SAMEA7519914	PRJEB42136	1						1										557	569	1.6	29	20		73	115	2020-08-28	COMPLETE	COMPLETE	ilNocFimb1	●	●	●			●			3	3	done; ont	4.40	278	13.39	177	20.23	576	C:98.2%[S:97.5%,D:0.7%],F:0.8%,M:1.0%,n:1658			hifiasm+purge+polish+mitoHiFi+salsa		
	1 submitted	11_published	mu2	GRIT-314	ilNocPron1	GCA_905220335.1	Noctua pronuba	3			large yellow underwing	U	F		214277	Noctua	Noctuidae	Lepidoptera	Arthropoda	SAMEA7519837	PRJEB43815	1						1										557	504	3.2	27	47		71	113	2021-06-28	COMPLETE	COMPLETE	ilNocPron1	●		●			●			3	3	done	16.55	74	17.62	66	24.14	529	C:98.5%[S:97.9%,D:0.6%],F:0.4%,M:1.1%,n:1658			hicanu+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	GRIT-245	ilNotDrom1	GCA_905147325.1	Notodonta dromedarius	3			iron prominent	U	M		753204	Notodonta	Notodontidae	Lepidoptera	Arthropoda	SAMEA7520190	PRJEB42138	1						1										352	340	1.5	25	77		112	163	2020-03-30	COMPLETE	COMPLETE	ilNotDrom1	●		●			●	●		3	3	done	10.32	215	11.70	206	14.52	345	C:98.7%[S:98.0%,D:0.7%],F:0.3%,M:1.0%,n:1658	53.0		hicanu+purge+freebayes+salsa		
	1 submitted	11_published	mu2	GRIT-269	ilNotUddm1	GCA_905163555.1	Notocelia uddmanniana	3			bramble shoot	U	M		1594315	Notocelia	Tortricidae 	Lepidoptera	Arthropoda	SAMEA7519916	PRJEB42137	1						1										585	829	0.8	42	18		49	105	2020-08-20	COMPLETE	COMPLETE	ilNotUddm1,ilNotUddm2	●		●			●			3	3	done	7.44	308	26.47	171	75.64	825	C:98.3%[S:95.8%,D:2.5%],F:0.4%,M:1.3%,n:1658			hifiasm+purge+polish+mito+salsa(arima)		
	1 submitted	11_published	jf18	RC-64	ilNotZicz1	GCA_918843915.1	Notodonta ziczac	3			pebble prominent	U	M		988002	Notodonta	Notodontidae	Lepidoptera	Arthropoda	SAMEA7746619	PRJEB46845	1						1										352	347	1.8	26	38	40	127	212	2020-10-28	COMPLETE	COMPLETE	ilNotZicz1	●		●			●	●		3	3	done	11.74	57	11.81	56	14.56	352	C:99.2%[S:98.9%,D:0.3%],F:0.4%,M:0.4%,n:1367	55.2	98.4	hifiasm-0.15.3-r339+purge+polish+salsa		
	1 submitted	11_published	mu2	GRIT-337	ilNymPoly1	GCA_905220585.1	Nymphalis polychloros	3			large tortoiseshell	U	F		171594	Nymphalis	Nymphalidae	Lepidoptera	Arthropoda	SAMEA7523477	PRJEB42956	1						1									1	440	390	1.0	21	36		84	129	2020-11-14	COMPLETE	COMPLETE	ilNymPoly1	●		●			●	●		3	3	done	13.93	43	13.93	40	18.34	398	C:98.5%[S:97.9%,D:0.6%],F:0.3%,M:1.2%,n:1658			hifiasm+purge		
	1 submitted	11_published	kk16	GRIT-298	ilParAegt1	GCA_905163445.1	Pararge aegeria	3			speckled wood	F			348721	Pararge	Nymphalidae	Lepidoptera	Arthropoda	SAMEA7532732	PRJEB42139	1						1									1	479	509	0.5	21	42		66	129	2020-09-09	COMPLETE	COMPLETE	ilParAegt2	●		●			●	●		3	3	done	19.40	77	19.40	75	27.00	518	C:98.8%[S:98.4%,D:0.4%],F:0.2%,M:1.0%,n:1658			hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	GRIT-412	ilParStra1	GCA_910589355.1	Parapoynx stratiotata	3			ringed china-mark	U	M		1594321	Parapoynx	Crambidae	Lepidoptera	Arthropoda	SAMEA7519920	PRJEB45129	1						1										601	471	1.6	24	26		101	119	2021-05-10	COMPLETE	COMPLETE	ilParStra3	●		●			●	●		3	3	done	13.78	68	16.49	44	32.57	485	C:98.9%[S:97.8%,D:1.1%],F:0.5%,M:0.6%,n:1367	52.0		hifiasm+purge+polish+mito+scaff		
	1 submitted	11_published	mu2	GRIT-242	ilPhaBuce1	GCA_905147815.2	Phalera bucephala	3			buff-tip	U	F		753216	Phalera	Notodontidae	Lepidoptera	Arthropoda	SAMEA7519921	PRJEB42140	1						1										342	922	1.4	50	34		51	234	2020-09-11	COMPLETE	COMPLETE	ilPhaBuce1	●		●			●	●		3	3	done	8.55	305	24.33	223	68.34	938	C:98.7%[S:96.8%,D:1.9%],F:0.3%,M:1.0%,n:1658	54.0		hicanu+purge+freebayes+salsa		
	1 submitted	11_published	mu2	GRIT-333	ilPheTrem1	GCA_905333125.1	Pheosia tremula	3			swallow prominent	U	M		988019	Pheosia	Notodontidae	Lepidoptera	Arthropoda	SAMEA7520523	PRJEB43537	1						1										352	293	0.6	19	73		120	152	2020-11-23	COMPLETE	COMPLETE	ilPheTrem1	●		●			●			3	3	done	7.70	110	10.27	75	12.54	292	C:98.4%[S:97.8%,D:0.6%],F:0.6%,M:1.0%,n:1658			hicanu+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	GRIT-262	ilPhlMeti2	GCA_905147745.1	Phlogophora meticulosa	3			angle shades	U	F		875884	Phlogophora	Noctuidae	Lepidoptera	Arthropoda	SAMEA7520192	PRJEB42141	1						1										587	540	1.0	25	45		77	103	2020-03-30	COMPLETE	COMPLETE	ilPhlMeti2	●		●			●	●		3	3	done	17.29	365	17.62	360	20.34	545	C:97.5%[S:96.5%,D:1.0%],F:0.4%,M:2.1%,n:1658			hifiasm+purge+polish+mito+hic		
	1 submitted	11_published	mu2	GRIT-246	ilPieBrab1	GCA_905147105.1	Pieris brassicae	3			large white	F			7116	Pieris	Pieridae	Lepidoptera	Arthropoda	SAMEA7532735	PRJEB42142	1						1									1	316	274	0.8	19	92		138	208	2020-03-26	COMPLETE	COMPLETE	ilPieBrab3	●		●			●	●		3	3	done	21.29	427	21.29	427	23.07	292	C:98.4%[S:98.1%,D:0.3%],F:0.5%,M:1.1%,n:1658	53.0		hicanu+purge+freebayes+salsa		
	1 submitted	11_published	kk16	GRIT-316	ilPieNapi1	GCA_905475465.1	Pieris napi	3			green-veined white	F			78633	Pieris	Pieridae	Lepidoptera	Arthropoda	SAMEA7523287	PRJEB43034	1						1									1	316	311	3.5	32	60		52	201	2020-09-09	COMPLETE	COMPLETE	ilPieNapi5	●		●			●	●		3	3	done	11.57	62	12.80	58	14.80	323	C:97.7%[S:96.6%,D:1.1%],F:0.4%,M:1.9%,n:1658			hicanu+purge+polish+mito+salsa		
	1 submitted	11_published	kk16	GRIT-311	ilPieNapi4	GCA_905231885.1	Pieris napi	3			green-veined white	M			78633	Pieris	Pieridae	Lepidoptera	Arthropoda	SAMEA7523140	PRJEB43034	1						1									1	316	315	3.1	26	91		107	172	2020-09-09	COMPLETE	COMPLETE	ilPieNapi5	●		●			●	●		3	3	done	10.92	74	12.51	64	15.06	322	C:98.4%[S:97.5%,D:0.9%],F:0.5%,M:1.1%,n:1658			hicanu+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	GRIT-244	ilPieRapa1	GCA_905147795.1	Pieris rapae	3			small white	F			64459	Pieris	Pieridae	Lepidoptera	Arthropoda	SAMEA7523164	PRJEB42143	1						1									1	316	249	2.2	18	56		157	213	2020-03-25	COMPLETE	COMPLETE	ilPieRapa1	●		●	●		●	●		3	3	done; htag	10.65	46	10.65	45	12.96	256	C:98.5%[S:98.1%,D:0.4%],F:0.3%,M:1.2%,n:1658			hicanu+purge+scaff10x		
	1 submitted	11_published	cz3	GRIT-435	ilPyrMalv3	GCA_911387765.1	Pyrgus malvae	3			grizzled skipper	F	M		218760	Pyrgus	Hesperiidae	Lepidoptera	Arthropoda	SAMEA7523277	PRJEB45665	1						1									1	525	729	2.1	38	69		49	118	2020-08-28	COMPLETE	COMPLETE	ilPyrMalv2,ilPyrMalv3	●		●			●	●		3	3	done; hic fail	25.95	44	26.98	41	33.22	725	C:99.3%[S:98.9%,D:0.4%],F:0.4%,M:0.3%,n:1367	60.4	97.6	hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	GRIT-338	ilSpiLubr1	GCA_905220595.1	Spilosoma lubricipeda	3			white ermine	U	M		875880	Spilosoma	Erebidae	Lepidoptera	Arthropoda	SAMEA7520525	PRJEB42957	1						1										626	589	1.8	26	39		43	63	2020-11-16	COMPLETE	COMPLETE	ilSpiLubr1	●		●			●	●		3	3	done	20.64	54	21.03	52	35.93	588	C:98.9%[S:97.5%,D:1.4%],F:0.2%,M:0.9%,n:1658			hifiasm+purge		
	1 submitted	11_published	mu2	GRIT-243	ilThyBati1	GCA_905147785.1	Thyatira batis	3			peach blossom	U	M		721163	Thyatira	Drepanidae	Lepidoptera	Arthropoda	SAMEA7519923	PRJEB42146	1						1										318	313	1.9	27	29		122	184	2019-12-17	COMPLETE	COMPLETE	ilThyBati1	●	●	●	●		●	●		3	3	done; htag; ont	7.12	105	10.17	84	14.01	323	C:98.4%[S:95.7%,D:2.7%],F:0.4%,M:1.2%,n:1658	52.0		hicanu+purge+freebayes+salsa		
	1 submitted	11_published	kk16	GRIT-441	ilThySylv1	GCA_911387775.1	Thymelicus sylvestris	3			small skipper	M			272628	Thymelicus	Hesperiidae	Lepidoptera	Arthropoda	SAMEA7523279	PRJEB45673	1						1									1	525	498	1.6	41	40		63	104	2021-05-27	COMPLETE	COMPLETE	ilThySylv1,ilThySylv3	●		●			●	●		3	3	done; hic fail	16.60	92	17.30	77	37.20	473	C:98.6%[S:98.2%,D:0.4%],F:0.4%,M:1.0%,n:1367	48.6	95.7	hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	kk16	GRIT-303	ilTinTrin1	GCA_905220615.1	Tinea trinotella	3			bird's-nest moth	U	M		1594354	Tinea	Tineidae	Lepidoptera	Arthropoda	SAMEA7519924	PRJEB42958	1						1										585	368	1.5	34	33		83	103	2021-07-03	COMPLETE	COMPLETE	ilTinTrin1	●		●			●			3	3	done	13.80	34	13.80	33	26.30	372	C:98.0%[S:97.2%,D:0.8%],F:0.5%,M:1.5%,n:1658			hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	GRIT-233	ilVanAtal1	GCA_905147765.2	Vanessa atalanta	3			red admiral	F			42275	Vanessa	Nymphalidae	Lepidoptera	Arthropoda	SAMEA7523145	PRJEB42064	1						1									1	440	359	1.1	10	34		95	139	2019-12-17	COMPLETE	COMPLETE	ilVanAtal1	●		●			●	●		3	3	done	12.15	210	12.58	212	16.45	371	C:99.1%[S:98.9%,D:0.2%],F:0.2%,M:0.7%,n:1658	57.0		hicanu+purge+freebayes+salsa		
	1 submitted	11_published	kk16	GRIT-300	ilVanCard2	GCA_905220365.1	Vanessa cardui	3			painted lady	F			171605	Vanessa	Nymphalidae	Lepidoptera	Arthropoda	SAMEA7523147	PRJEB42945	1						1									1	440	408	2.8	26	25		89	150	2020-09-09	COMPLETE	COMPLETE	ilVanCard3	●		●			●	●		3	3	done	7.00	130	12.00	94	16.30	427	C:98.2%[S:97.9%,D:0.3%],F:0.8%,M:1.0%,n:1658			hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	GRIT-263	ilXesXant1	GCA_905147715.1	Xestia xanthographa	3			square-spot rustic	U	M		988049	Xestia	Noctuidae	Lepidoptera	Arthropoda	SAMEA7520195	PRJEB42066	1						1										763	946	2.0	52	27		40	77	2020-03-30	COMPLETE	COMPLETE	ilXesXant1	●		●			●	●		3	3	done	9.12	328	30.75	112	41.14	947	C:98.1%[S:96.8%,D:1.3%],F:0.5%,M:1.4%,n:1658			hifiasm+purge+polish+mito+hic		
	1 submitted	11_published	mu2	GRIT-390	ilZygFili1	GCA_907165275.1	Zygaena filipendulae	3			6-spot burnet	F			287375	Zygaena	Zygaenidae	Lepidoptera	Arthropoda	SAMEA7519846	PRJEB44832	1						1										585	353	1.7	28	58		92	316	2021-08-02	COMPLETE	COMPLETE	ilZygFili2	●		●			●	●		3	3	done	12.64	71	12.64	61	16.10	366	C:98.8%[S:98.0%,D:0.8%],F:0.5%,M:0.7%,n:1367	54.0		hifiasm+purge		
	1 submitted	11_published	kk16	GRIT-302	inChrCarn1	GCA_905475395.1	Chrysoperla carnea	3			common green lacewing	U	F		189513	Chrysoperla	Chrysopidae	Neuroptera	Arthropoda	SAMEA7520372	PRJEB43807	1						1										479	568	2.2	21	40		147	292	2020-10-13	COMPLETE	COMPLETE	inChrCarn1	●		●			●			3	3	done	67.80	400	94.90	346	107.10	592	C:97.5%[S:90.9%,D:6.6%],F:0.6%,M:1.9%,n:1658			hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	RC-23	ioIscEleg1	GCA_921293095.1	Ischnura elegans	3				U	F		197161	Ischnura	Coenagrionidae	Odonata	Arthropoda	SAMEA7521125	PRJEB46304	1						1											1,741	1.7	27	26		64		2021-06-16	COMPLETE	COMPLETE	ioIscEleg1	●		●			●	●		3	3	done	13.06	380	85.97	264	128.93	1,748	C:97.3%[S:96.1%,D:1.2%],F:1.3%,M:1.4%,n:1367	47.0	96.0	hifiasm+purge+polish+mito+scaff		
	1 submitted	11_published	cz3	RC-95	ipNemPict2	GCA_921293315.1	Nemurella pictetii	3				U	M		143722	Nemurella	Nemouridae	Plecoptera	Arthropoda	SAMEA7520996	PRJEB47468	1						1										2,741	227	1.0	24	68	6	183	34	2021-09-03	COMPLETE	COMPLETE	ipNemPict1	●		●			●	●		3	3	done	9.60	137	22.67	88	33.39	266	C:98.8%[S:96.3%,D:2.5%],F:0.4%,M:0.8%,n:1367	55.9	94.3	hifiasm-0.15.3-r339+purge+polish+salsaa		
	1 submitted	11_published	cz3	RC-16	iyAnoNige1	GCA_914767735.1	Anoplius nigerrimus	3				U			1667466	Anoplius	Pompilidae	Hymenoptera	Arthropoda	SAMEA7746764	PRJEB46296	1						1											509	0.8	55	29		87		2022-01-04	COMPLETE	COMPLETE	iyAnoNige1	●		●			●	●		3	3	done	1.65	1,253	1.82	1,225	46.23	626	C:99.0%[S:98.7%,D:0.3%],F:0.2%,M:0.8%,n:1367	52.0	94.0	hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	kk16	GRIT-351	iyBomHort1	GCA_905332935.1	Bombus hortorum	3			garden bumblebee	F			85660	Bombus	Apidae	Hymenoptera	Arthropoda	SAMEA7520483	PRJEB43539	1						1										446	321	0.0	28	82		113	170	2020-09-07	COMPLETE	COMPLETE	iyBomHort1	●		●			●	●		3	3	done	6.20	85	6.90	74	16.30	371	C:99.8%[S:99.6%,D:0.2%],F:0.1%,M:0.1%,n:1658			hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	cz3	GRIT-420	iyCerRyby1	GCA_910591515.1	Cerceris rybyensis	3			ornate tailed digger wasp	F			1167272	Cerceris	Crabronidae	Hymenoptera	Arthropoda	SAMEA7701329	PRJEB45199	1						1										413	398	0.8	26	58		91	167	2021-04-07	COMPLETE	COMPLETE	iyCerRyby1	●		●			●	●		3	3	done	15.22	713	26.18	685	96.11	419	C:99.2%[S:98.9%,D:0.3%],F:0.4%,M:0.4%,n:1367	54.2	96.8	hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	RC-63	iyDolSylv1	GCA_918808275.1	Dolichovespula sylvestris	3			tree wasp	M			85444	Dolichovespula	Vespidae	Hymenoptera	Arthropoda	SAMEA7746475	PRJEB46852	1						1										313	208	0.4	18	27	20	175	262	2020-08-18	COMPLETE	COMPLETE	iyDolSylv1	●		●			●	●		3	3	done	1.25	375	5.62	162	10.20	225	C:99.0%[S:98.6%,D:0.4%],F:0.2%,M:0.8%,n:1367	58.0	95.5	hifiasm-0.15.1-r334+purge+mito+polish+salsa		
	1 submitted	11_published	kk16	RC-55	iyIchXant1	GCA_917499995.1	Ichneumon xanthorius	3				F			2795680	Ichneumon	Ichneumonidae	Hymenoptera	Arthropoda	SAMEA7746465	PRJEB46331	1						1										139	298	0.4	27	55	126	62	327	2021-06-28	COMPLETE	COMPLETE	iyIchXant1	●		●			●	●		3	3	done	4.10	370	12.80	223	21.20	315	C:99.5%[S:99.1%,D:0.4%],F:0.1%,M:0.4%,n:1367	52.4	93.0	hifiasm-0.15.3-r339+purge		
	1 submitted	11_published	cz3	RC-17	iyLasLatv2	GCA_916610255.1	Lasioglossum lativentre	3			furry-claspered furrow bee	F			88531	Lasioglossum	Halictidae	Hymenoptera	Arthropoda	SAMEA7746765	PRJEB46299	1						1											540	0.1	48	34		54		2021-05-25	COMPLETE	COMPLETE	iyLasLatv1	●		●			●			3	3	done	4.03	1,511	16.15	1,255	41.59	489	C:99.1%[S:98.4%,D:0.7%],F:0.3%,M:0.6%,n:1367	48.9	93.6	hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	kk16	RC-39	iyMacEuro1	GCA_916610135.1	Macropis europaea	3			yellow loosestrife bee	M			253715	Macropis	Melittidae	Hymenoptera	Arthropoda	SAMEA7746440	PRJEB46314	1						1											469	0.1	33	30		55		2021-05-25	COMPLETE	COMPLETE	iyMacEuro1	●		●			●	●		3	3	done	8.40	2,462	20.80	2,170	52.90	543	C:99.5%[S:99.3%,D:0.2%],F:0.1%,M:0.4%,n:1367	52.2	94.3	hifiasm-0.15.1-r334+purge+mito+polish+salsa		
	1 submitted	11_published	kk16	RC-13	iySelTumu1	GCA_913789895.1	Seladonia tumulorum	3			bronze furrow bee	M			115100	Seladonia	Halictidae	Hymenoptera	Arthropoda	SAMEA7746445	PRJEB45675	1						1										554	401	0.1	31	58		93	142	2022-02-10	COMPLETE	COMPLETE	iySelTumu2	●		●			●	●		3	3	done	31.80	92	17.30	77	37.20	473	C:99.4%[S:98.0%,D:1.4%],F:0.1%,M:0.5%,n:1367	58.5	97.2	hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	kk16	RC-11	iySphMoni1	GCA_913789915.1	Sphecodes monilicornis	3			box-headed blood bee	M			1190790	Sphecodes	Halictidae	Hymenoptera	Arthropoda	SAMEA7746755	PRJEB45672	1						1										717	513	0.0	26	34		80	115	2021-05-27	COMPLETE	COMPLETE	iySphMoni1	●		●			●	●		3	3	done	7.40	628	23.70	504	37.10	495	C:99.1%[S:98.8%,D:0.3%],F:0.3%,M:0.6%,n:1367	52.9	97.5	hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	kk16	RC-25	iyTenNoth1	GCA_914767705.1	Tenthredo notha	3				U			362091	Tenthredo	Tenthredinidae	Hymenoptera	Arthropoda	SAMEA7746761	PRJEB46306	1						1											223	0.8	21	77		262		2021-06-16	COMPLETE	COMPLETE	iyTenNoth1	●		●			●	●		3	3	done	6.40	112	11.40	92	19.70	266	C:99.8%[S:99.0%,D:0.8%],F:0.1%,M:0.1%,n:1367	57.2	98.0	hifiasm-0.15.1-r334+purge+mito+polish+salsa		
	1 submitted	11_published	kk16	GRIT-384	iyVesCrab1	GCA_910589235.1	Vespa crabro	3			European hornet	F			7445	Vespa	Vespidae	Hymenoptera	Arthropoda	SAMEA7520500	PRJEB45175	1						1										261	246	0.4	35	70		104	584	2020-09-08	COMPLETE	COMPLETE	iyVesCrab1,iyVesCrab2	●		●			●	●		3	3	done	3.00	214	4.60	181	9.70	230	C:99.2%[S:99.1%,D:0.1%],F:0.1%,M:0.7%,n:1367	43.6		hicanu+MitoHifiv2+polish+salsa		
	1 submitted	11_published	kk16	GRIT-318	iyVesGerm1	GCA_905340365.1	Vespula germanica	3			German wasp	F			30212	Vespula	Vespidae	Hymenoptera	Arthropoda	SAMEA7520501	PRJEB43741	1						1										225	193	0.2	12	72		181	275	2020-09-08	COMPLETE	COMPLETE	iyVesGerm1	●		●			●	●		3	3	done	6.56	82	8.64	72	17.90	207	C:99.4%[S:99.2%,D:0.2%],F:0.3%,M:0.3%,n:1658			hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	kk16	GRIT-301	iyVesVulg1	GCA_905475345.1	Vespula vulgaris	3			common wasp	F			7454	Vespula	Vespidae	Hymenoptera	Arthropoda	SAMEA7520502	PRJEB43808	1						1										196	193	0.2	12	87		190	320	2021-12-07	COMPLETE	COMPLETE	iyVesVulg1	●		●			●	●		3	3	done	8.52	137	8.50	145	15.80	190	C:99.5%[S:99.2%,D:0.3%],F:0.1%,M:0.4%,n:1658			hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	GRIT-475	jaDiaLine6	GCA_918843875.1	Diadumene lineata	3			orange-striped anemone	U			1789172	Diadumene	Diadumenidae	Actiniaria	Cnidaria	SAMEA7536572	PRJEB46855	1						1										448	314	1.3	34	27	19	82	115	2021-03-22	COMPLETE	COMPLETE	jaDiaLine7	●		●			●	●		3	3	done	2.87	365	8.76	237	29.12	317	C:96.1%[S:95.6%,D:0.5%],F:2.0%,M:1.9%,n:954	54.9	94.3	hifiasm-0.15.3-r339+purge		
	1 submitted	11_published	mu2	GRIT-392	kaAplTurb1	GCA_918807975.1	Aplidium turbinatum	3			(a colonial sea squirt)	H			2771288	Aplidium	Polyclinidae	Aplousobranchia	Chordata	SAMEA7536566	PRJEB45189	1						1											601	0.8	44	65		85		2020-10-15	COMPLETE	COMPLETE	kaAplTurb1	●		●			●	●		3	3	done	14.92	258	34.25	203	66.37	615	C:93.3%[S:88.2%,D:5.1%],F:3.2%,M:3.5%,n:954 	49.0		hifiasm014+mitov2.10+purge2E+polish+scaff		
	1 submitted	11_published	sm15	GRIT-317	mCanLor1	GCA_905319855.2	Canis lupus	3			Greenland wolf	M			9612	Canis	Canidae	Carnivora	Chordata	SAMEA7532739	PRJEB43409	1		1				1										2,900	2,318	0.3	11	28		74	94	2020-11-24	COMPLETE	COMPLETE	mCanLor1	●		●			●	●		3	3	done	35.09	428	56.75	319	123.65	2,455	C:95.8%[S:94.6%,D:1.2%],F:2.0%,M:2.2%,n:4104			hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	mu2	GRIT-387	mCerEla1	GCA_910594005.1	Cervus elaphus	3			red deer	F			9860	Cervus	Cervidae	Artiodactyla	Chordata	SAMEA7523520	PRJEB45171	1		1				1										3,059	2,873	0.3	26	30		26	38		COMPLETE	COMPLETE	mCerEla1	●		●			●			3	3	done	63.76	388	71.62	357	150.34	3,160	C:95.0%[S:92.6%,D:2.4%],F:2.4%,M:2.6%,n:4104	55.0		hifiasm+purge+polish+mito+salsa		
	1 submitted	11_published	sm15	GRIT-221	mRatBN7	GCA_015227675.2	Rattus norvegicus	3			Norway rat	M			10116	Rattus	Muridae	Rodentia	Chordata	SAMN16261960	PRJNA662962	1		1				1											3,599	0.2	40	80		31		2019-11-24	UNKNOWN	UNKNOWN		●		●		●	●			3	3	done	29.66	752	135.04	175	260.60	2,648	C:95.0%[S:93.3%,D:1.7%],F:2.8%,M:2.2%,n:4104	41.0		Submitted		
	1 submitted	11_published	ea10	GRIT-216	pEimTen1	GCA_905310635.1	Eimeria tenella				Coccidian parasite	NA			5802	Eimeria	Eimeriidae	Eucoccidiorida	Apicomplexa	SAMEA7524401	PRJEB43130	1						1								1		171	62	0.1	35	41		107	188	2022-02-22	COMPLETE	COMPLETE	pEimTen1	●		●			●			3	3	done	1.64	63	4.01	17	6.78	53				canu (eerik)		
	1 submitted	11_published	mu2	GRIT-361	tnLinLong1	GCA_910592395.1	Lineus longissimus	3			bootlace worm	U			88925	Lineus	Lineidae	Heteronemertea	Nemertea	SAMEA7522833	PRJEB45185	1						1										1,369	377	1.5	32	79		107	50	2021-03-24	COMPLETE	COMPLETE	tnLinLong1	●		●			●	●		3	3	done	9.91	163	13.63	132	30.06	400	C:96.2%[S:95.5%,D:0.7%],F:0.6%,M:3.2%,n:978	56.6		hifiasm+purgeE+polish+scaff+mitov2		
	1 submitted	11_published	cz3	GRIT-512	xbGarTell2	GCA_922989275.1	Gari tellinella	3			(a clam)	U			2589376	Gari	Psammobiidae	Cardiida	Mollusca	SAMEA8724799	PRJEB48048	1						1										1,634	1,555	2.2	43	34	34	25	44	2021-10-05	COMPLETE	COMPLETE	xbGarTell2	●		●			●			3	3	done	20.08	253	83.93	129	120.38	1,604	C:94.8%[S:93.9%,D:0.9%],F:3.1%,M:2.1%,n:954	49.1	94.8	hifiasm-0.15.3-r339+purge+polish+yahs		
	1 submitted	11_published	mu2	GRIT-369	xgPatPell1	GCA_917208275.1	Patella pellucida	3			blue-rayed limpet	U			88005	Patella	Patellidae	Patellogastropoda	Mollusca	SAMEA7522851	PRJEB45187	1						1										740	683	1.9	36	31	37	55	194	2020-11-04	IN_PROGRESS	COMPLETE	xgPatPell2	●		●			●	●		3	3	done	3.08	529	33.18	230	76.72	750	C:96.0%[S:94.8%,D:1.2%],F:0.9%,M:3.1%,n:978	56.9		mitoManual+hicanu+purgeE+polish+mito+salsa		
	1 submitted	11_published	jf18	GRIT-437	xgSteCine2	GCA_916613615.1	Steromphala cineraria	3			grey top shell	U			216125	Steromphala	Trochidae	Trochida	Mollusca	SAMEA7536348	PRJEB45667	1						1											1,218	3.1	39	42		35		2021-11-30	COMPLETE	COMPLETE	xgSteCine2,xgSteCine3	●		●			●	●		3	3	done	3.95	1,132	25.56	699	72.30	1,347	C:85.6%[S:83.5%,D:2.1%],F:5.0%,M:9.4%,n:5295	53.0		hifiasm+purge		
